timestamp,lat,lon,alt,vn,ve,vd
0.000000,0.000000,0.000000,112.834923,1.138431,-3.325632,0.038789
0.110133,0.111925,-0.315112,112.846901,1.166745,-3.288107,-0.011018
0.210042,0.209150,-0.608214,112.865540,1.234696,-3.241157,-0.087431
0.310212,0.298412,-0.917362,112.890846,1.250562,-3.170711,-0.073462
0.420053,0.393841,-1.248952,112.913994,1.250491,-3.103448,0.000962
0.520035,0.501724,-1.525980,112.928978,1.272082,-3.052249,0.040350
0.620009,0.611389,-1.779379,112.933807,1.281284,-3.020681,0.064718
0.730021,0.738853,-2.059793,112.931915,1.312127,-2.953716,0.100493
0.830196,0.844766,-2.299827,112.941635,1.362765,-2.903567,0.096600
0.930085,0.960117,-2.560555,112.950562,1.389324,-2.870187,0.109269
1.040067,1.097177,-2.840746,112.954338,1.379529,-2.851915,0.202773
1.140057,1.217510,-3.118344,112.952438,1.383605,-2.844841,0.131874
1.240057,1.337778,-3.401661,112.957474,1.408697,-2.818147,0.000609
1.350181,1.467613,-3.718068,112.979141,1.440576,-2.769978,-0.019746
1.450051,1.596863,-3.986054,112.996910,1.447437,-2.733376,0.041610
1.550080,1.727472,-4.243985,113.020172,1.470521,-2.699355,0.027368
1.660064,1.882353,-4.546892,113.041649,1.534878,-2.683366,0.006586
1.760104,2.021021,-4.828731,113.060211,1.546537,-2.650838,0.038611
1.860183,2.166955,-5.106074,113.073494,1.561237,-2.651011,0.046836
1.960104,2.319769,-5.374893,113.090202,1.579329,-2.672276,0.066322
2.070074,2.495666,-5.664594,113.101883,1.612851,-2.695826,0.124765
2.170216,2.663171,-5.929675,113.105782,1.684241,-2.696591,0.061571
2.280100,2.854540,-6.220683,113.114723,1.762142,-2.684434,0.007209
2.380135,3.036262,-6.479800,113.140289,1.801067,-2.669210,-0.003750
2.480140,3.219148,-6.740312,113.159698,1.821519,-2.655874,0.076590
2.580117,3.407683,-7.005677,113.174843,1.858110,-2.615331,0.002011
2.690106,3.615914,-7.291356,113.203453,1.880832,-2.607407,-0.165458
2.790123,3.807482,-7.550080,113.228981,1.900926,-2.584687,-0.153574
2.890297,4.000019,-7.810551,113.240875,1.893604,-2.580673,-0.056280
3.000108,4.214429,-8.086683,113.250748,1.919523,-2.574564,0.049166
3.100122,4.415444,-8.334631,113.250511,2.001170,-2.546968,0.095845
3.210137,4.648944,-8.597973,113.253204,2.107556,-2.507785,0.113716
3.310356,4.866943,-8.841356,113.257019,2.161522,-2.522440,0.078574
3.410309,5.087122,-9.103499,113.255783,2.183555,-2.602870,0.032967
3.510259,5.316045,-9.365102,113.260567,2.262645,-2.646558,0.022965
3.620141,5.583127,-9.651588,113.264030,2.392919,-2.651562,0.022004
3.720155,5.835601,-9.914152,113.267136,2.493996,-2.661893,0.008405
3.820379,6.096707,-10.186258,113.258949,2.580235,-2.687119,0.041712
3.930242,6.395686,-10.491316,113.238861,2.685677,-2.717537,0.063557
4.030230,6.678552,-10.768101,113.225533,2.801406,-2.732353,0.054239
4.130155,6.970682,-11.049961,113.211487,2.888268,-2.784033,0.058539
4.240179,7.301168,-11.362572,113.196678,2.997978,-2.819206,0.089996
4.340359,7.615438,-11.634430,113.177895,3.134005,-2.790200,0.117819
