timestamp,ax,ay,az,gx,gy,gz
0.000000,-0.115070,0.124630,9.972158,-0.003584,-0.001121,-0.009256
0.010000,0.456475,0.034188,9.599607,-0.001464,0.000212,0.000461
0.020000,0.382182,-0.066296,9.672463,-0.009134,0.005097,0.004366
0.030000,0.611651,0.301760,9.941936,-0.004505,-0.002432,-0.005488
0.040000,0.203594,-0.251080,9.416618,-0.001307,-0.000167,-0.000740
0.050000,-0.076235,0.167339,9.778511,0.007004,-0.005036,0.005920
0.060000,0.261300,0.752186,9.909046,0.003304,-0.000070,-0.007738
0.070000,0.514112,-0.300079,9.676002,0.004608,-0.000718,-0.001729
0.080000,-0.451399,-0.288179,10.109175,0.004492,0.000368,0.002794
0.090000,0.216792,-0.102387,10.179431,0.002206,-0.001729,-0.004530
0.100000,0.373055,0.315687,9.357753,-0.009222,0.004847,-0.005515
0.110000,0.196730,-0.074744,10.118352,0.004921,0.008471,0.001893
0.120000,0.090581,-0.367670,9.404421,0.001679,0.002540,0.002350
0.130000,0.054329,-0.501762,10.097789,0.002805,-0.001026,-0.006117
0.140000,-0.131259,-0.483730,9.726776,-0.000638,-0.004808,-0.002795
0.150000,0.214349,-0.471362,9.524278,0.003305,0.000135,-0.007916
0.160000,0.568591,-0.114983,9.557904,-0.001416,-0.003349,-0.012292
0.170000,-0.264206,-0.076064,9.821787,0.007319,0.003589,-0.007272
0.180000,-0.250554,0.063369,9.810687,0.000600,-0.001707,0.005004
0.190000,0.076359,-0.825921,10.274099,0.006329,0.010294,0.003831
0.200000,-0.095464,-0.285489,10.048350,0.002781,-0.000609,0.003597
0.210000,-0.220942,-0.242016,10.158959,-0.000947,0.001640,-0.015006
0.220000,0.105319,0.194331,9.578726,0.010362,0.001482,-0.005951
0.230000,0.159828,-0.082133,9.943331,-0.001612,-0.000186,-0.000480
0.240000,-0.091464,-0.034294,10.119443,0.001544,0.000029,0.001451
0.250000,-0.370882,0.104995,10.160806,-0.000134,-0.009749,0.002525
0.260000,-0.351099,-0.421540,8.966163,0.000976,-0.002417,-0.005796
0.270000,-0.300488,0.164373,10.117524,-0.004562,0.001591,-0.013081
0.280000,0.618419,-0.054142,9.991883,0.000943,0.001567,-0.004518
0.290000,-0.517122,0.289430,9.426943,0.005361,0.003751,-0.002007
0.300000,-0.073091,-0.574356,10.273955,-0.007916,-0.001716,-0.002508
0.310000,0.043303,-0.390407,9.650931,0.003533,-0.001056,-0.013054
0.320000,-0.482197,-0.594500,9.485684,-0.003276,-0.005635,-0.000060
0.330000,0.333059,0.015161,9.611546,-0.001247,-0.009509,-0.002301
0.340000,-0.553297,-0.266019,9.610115,-0.001780,-0.001139,-0.012608
0.350000,-0.033307,-0.475350,10.190414,0.011002,0.000249,-0.004266
0.360000,0.010372,-0.681845,10.119918,0.007052,-0.001256,-0.007009
0.370000,-0.253279,-0.349844,9.956694,-0.005456,-0.007040,-0.015255
0.380000,-0.361301,0.129369,10.364387,-0.006744,-0.002216,-0.004549
0.390000,-0.311302,0.515319,9.898055,0.003889,0.007777,-0.007949
0.400000,-0.086146,-0.305379,9.625999,-0.000403,-0.003520,-0.008546
0.410000,-0.195175,-0.026736,10.107870,0.006484,0.002539,-0.000803
0.420000,-0.430511,-0.071113,9.974365,0.006685,0.001734,-0.011857
0.430000,0.015891,-0.399764,9.620187,0.003957,-0.002593,-0.006855
0.440000,-0.591378,0.197785,9.483345,-0.004625,0.005910,-0.006606
0.450000,0.338740,-0.452614,10.227941,-0.007582,0.001743,-0.007024
0.460000,-0.801354,0.274702,10.391127,-0.002076,0.001414,-0.004336
0.470000,0.366049,-0.090464,10.151312,-0.006637,0.003322,-0.012519
0.480000,-0.403170,0.090123,10.019856,-0.011283,-0.000883,-0.010078
0.490000,-0.824662,-0.272886,10.125207,-0.000492,0.000018,-0.005958
0.500000,-0.555135,-1.161172,10.167063,-0.000713,0.000747,-0.005841
0.510000,0.486495,-0.586227,9.714954,0.009376,0.003931,-0.008799
0.520000,-0.147185,-0.509671,9.963652,0.002449,-0.001436,-0.016513
0.530000,-0.603040,-0.208438,10.388233,0.006347,0.006891,-0.012361
0.540000,-0.406050,-0.513317,9.354061,0.008219,-0.010075,-0.003871
0.550000,-0.299207,0.002238,10.049952,0.004842,-0.006021,-0.004490
0.560000,-0.341350,-0.904375,9.847224,0.007794,-0.001932,-0.008237
0.570000,-0.433821,-0.249283,9.798848,0.002946,0.003718,-0.013964
0.580000,-0.395148,-0.461644,10.261026,0.000284,-0.003503,-0.010341
0.590000,-0.399128,-0.035141,9.517745,-0.002687,-0.007262,-0.011760
0.600000,-0.432100,-0.577759,9.732988,0.009639,-0.007963,-0.012367
0.610000,-0.694675,-0.363590,10.260855,-0.001018,0.000793,-0.003141
0.620000,-0.135044,-0.326616,10.321658,0.001832,0.003538,-0.004851
0.630000,-0.137085,-0.588969,9.638829,0.005064,-0.003783,-0.013535
0.640000,-0.470292,-0.387509,9.930785,0.000992,-0.002630,-0.003430
0.650000,-0.064342,0.092470,9.659202,0.000542,0.001569,-0.003265
0.660000,-0.999303,-0.387628,10.008123,0.002016,-0.000252,-0.002091
0.670000,0.143178,-0.454128,9.864923,0.007370,0.001301,-0.001720
0.680000,0.035156,-0.227077,9.896022,0.005843,0.002729,-0.004421
0.690000,-0.793826,-0.160044,9.685599,0.000280,-0.006240,-0.013661
0.700000,-0.778446,0.073473,9.177535,-0.007821,0.006999,-0.015359
0.710000,0.372995,-0.180547,9.935888,0.003805,0.002581,-0.013632
0.720000,-0.624726,-0.596296,9.845253,-0.009729,0.002065,-0.017250
0.730000,-0.391219,-0.220756,9.559965,-0.004802,0.000113,-0.001459
0.740000,-0.362331,-0.528596,9.884452,0.001119,0.001078,-0.011672
0.750000,-0.485168,-0.155550,10.309134,0.001283,-0.001765,-0.011028
