timestamp,px,py,pz,vx,vy,vz,roll,pitch,yaw
0.000000,0.000000,0.000000,0.000000,10.471976,10.471976,0.000000,0.000000,0.000000,0.785398
0.010000,0.104720,0.104720,0.000000,10.471970,10.471953,0.000000,0.000000,0.000000,0.785397
0.020000,0.209439,0.209439,0.000000,10.471953,10.471884,0.000000,0.000000,0.000000,0.785395
0.030000,0.314159,0.314157,0.000000,10.471924,10.471769,0.000000,0.000000,0.000000,0.785391
0.040000,0.418878,0.418874,0.000000,10.471884,10.471608,0.000000,0.000000,0.000000,0.785385
0.050000,0.523596,0.523589,0.000000,10.471832,10.471401,0.000000,0.000000,0.000000,0.785378
0.060000,0.628314,0.628302,0.000000,10.471769,10.471149,0.000000,0.000000,0.000000,0.785369
0.070000,0.733032,0.733012,0.000000,10.471694,10.470850,0.000000,0.000000,0.000000,0.785358
0.080000,0.837748,0.837719,0.000000,10.471608,10.470506,0.000000,0.000000,0.000000,0.785346
0.090000,0.942464,0.942422,0.000000,10.471510,10.470115,0.000000,0.000000,0.000000,0.785332
0.100000,1.047178,1.047121,0.000000,10.471401,10.469679,0.000000,0.000000,0.000000,0.785316
0.110000,1.151892,1.151815,0.000000,10.471281,10.469197,0.000000,0.000000,0.000000,0.785299
0.120000,1.256604,1.256505,0.000000,10.471149,10.468668,0.000000,0.000000,0.000000,0.785280
0.130000,1.361315,1.361189,0.000000,10.471005,10.468094,0.000000,0.000000,0.000000,0.785259
0.140000,1.466024,1.465867,0.000000,10.470850,10.467474,0.000000,0.000000,0.000000,0.785237
0.150000,1.570732,1.570538,0.000000,10.470684,10.466808,0.000000,0.000000,0.000000,0.785213
0.160000,1.675438,1.675203,0.000000,10.470506,10.466096,0.000000,0.000000,0.000000,0.785188
0.170000,1.780142,1.779860,0.000000,10.470316,10.465339,0.000000,0.000000,0.000000,0.785160
0.180000,1.884844,1.884509,0.000000,10.470115,10.464535,0.000000,0.000000,0.000000,0.785132
0.190000,1.989544,1.989150,0.000000,10.469903,10.463685,0.000000,0.000000,0.000000,0.785101
0.200000,2.094242,2.093783,0.000000,10.469679,10.462790,0.000000,0.000000,0.000000,0.785069
0.210000,2.198938,2.198406,0.000000,10.469443,10.461848,0.000000,0.000000,0.000000,0.785035
0.220000,2.303631,2.303020,0.000000,10.469197,10.460861,0.000000,0.000000,0.000000,0.785000
0.230000,2.408322,2.407623,0.000000,10.468938,10.459828,0.000000,0.000000,0.000000,0.784963
0.240000,2.513010,2.512216,0.000000,10.468668,10.458749,0.000000,0.000000,0.000000,0.784924
0.250000,2.617695,2.616798,0.000000,10.468387,10.457624,0.000000,0.000000,0.000000,0.784884
0.260000,2.722377,2.721368,0.000000,10.468094,10.456453,0.000000,0.000000,0.000000,0.784842
0.270000,2.827057,2.825927,0.000000,10.467790,10.455237,0.000000,0.000000,0.000000,0.784798
0.280000,2.931733,2.930473,0.000000,10.467474,10.453974,0.000000,0.000000,0.000000,0.784753
0.290000,3.036406,3.035006,0.000000,10.467147,10.452666,0.000000,0.000000,0.000000,0.784706
0.300000,3.141076,3.139526,0.000000,10.466808,10.451311,0.000000,0.000000,0.000000,0.784657
